Timestamp,Daily Usage (kWh)
2024-08-07,6.5600000000000005
2024-08-08,6.79
2024-08-09,7.52
2024-08-10,9.83
2024-08-11,9.38
2024-08-12,9.64
2024-08-13,11.71
2024-08-14,11.870000000000001
2024-08-15,12.11
2024-08-16,12.94
2024-08-17,12.71
2024-08-18,15.16
2024-08-19,11.5
2024-08-20,13.2
2024-08-21,15.6
2024-08-22,19.16
2024-08-23,14.58
2024-08-24,11.32
2024-08-25,15.67
2024-08-26,13.35
2024-08-27,16.91
2024-08-28,16.73
2024-08-29,20.94
2024-08-30,14.82
2024-08-31,15.95
2024-09-01,11.57
2024-09-02,16.06
2024-09-03,20.94
2024-09-04,19.71
2024-09-05,20.33
